m,basis,n_dof,kappa_M_raw,kappa_K_raw,kappa_M_massnorm,kappa_K_massnorm,kappa_K_equilibrated,cholesky_ok,kappa_A_transformed,Lam_fp64,backward_error,Lam_highprec,highprec_path,Lam_absdiff_rel
0,monomial_raw,10,4186349411285620.0,9142613947610.98,2895481076347426.0,10787108281815.71,9659620083051.1,True,3203370.6294034114,92.87172509110083,1.1428019453448297e-14,92.87172509199881,cholesky,9.669077521323858e-12
0,monomial_orthonormalized,10,2.1060189247125853,3288886.784372827,2.0807938035773206,4116089.078050663,290.32747551012835,True,3226819.893359225,92.87172509022587,5.768868747837678e-17,92.87172509198916,cholesky,1.8986371386667357e-11
0,shifted_legendre,10,428047.1146550058,19106.421564432603,1122511.4633290234,194.58882194534482,215.8743492842571,True,3226819.895585976,92.87172509178733,1.3417263482636635e-14,92.8717250919891,cholesky,2.1726733933421713e-12
0,integrated_legendre,10,105076307.5740789,421.00962723541346,43938.42313689919,47920.16520323793,13.117260368817876,True,3226819.8955239225,92.8717250924271,4.334505264537653e-13,92.87172509198915,cholesky,4.7156453719289395e-12
0,chebyshev,10,493546.0990693874,42776.09801728721,481848.71538301127,91.41065171168567,89.22739816286268,True,3226819.8955259435,92.8717250926128,2.56351348111416e-14,92.8717250919891,cholesky,6.715716780082721e-12
0,bspline_p3,9,22.259160656173545,27178.113274024083,19.163008354821173,37299.531292183085,19416.600991990996,True,312686.9489570711,92.87414308627902,3.6138313476967953e-16,92.87414308653996,cholesky,2.8096056190515375e-12
0,radial_hermite_fem,80,3625666.647454619,174225028.48450524,29.17299554003553,115651578.92562903,15745501.34105556,True,876094114.8467598,92.87172870346829,8.017690783193698e-16,92.87172895302747,cholesky,2.6871382870643744e-09
0,monomial_raw,12,1.1082702931859005e+17,9435002271601876.0,7.43745103742027e+16,9889511550129932.0,9543689855052066.0,True,8038072.917875134,92.8717250931403,9.033680753538438e-15,92.87172509149453,cholesky,1.7720929527268834e-11
0,monomial_orthonormalized,12,2.169615405754276,11698409.63058644,2.149834193201268,14697194.465281248,556.7576737391831,True,11314827.629748818,92.87172509222286,1.2466222962454303e-17,92.87172509148505,cholesky,7.944434812982916e-12
0,shifted_legendre,12,1160655.5935580817,55694.875628465525,3230277.4761258126,384.3570526430203,456.03689231352416,True,11314827.833333831,92.87172509231952,3.311104576253687e-14,92.87172509148508,cholesky,8.98494323433702e-12
0,integrated_legendre,12,434041775.4076175,521.56499567906,115647.68065826107,106244.24308133207,13.117260369060705,True,11314827.833079448,92.87172509087888,6.023340701094474e-13,92.87172509148503,cholesky,6.526742088887948e-12
0,chebyshev,12,1326161.764359999,129524.47309800914,1245486.4772417685,151.21874918377043,158.62472122163993,True,11314827.833182909,92.87172509338136,3.8096333182585745e-14,92.87172509148509,cholesky,2.041814157774252e-11
0,bspline_p3,11,22.835738181459092,61384.696744193505,19.402029852071188,90148.45787445313,39720.339995504226,True,756925.2416894328,92.87271696407686,6.091664543115039e-16,92.87271696428962,cholesky,2.290930251107162e-12
